start_lat,start_lon,end_lat,end_lon,km,kg,booked_,passed_email
51.4505173,-2.6157269,51.4998195,-2.5248828,11.1,1445,0,1
55.8451019,-3.9463791,57.7028212,-4.2343956,297.5,1025,0,1
51.4538022,-2.5972985,52.5847651,-2.127567,150.2,1900,0,1
52.2901714,-0.6679807,53.7974185,-1.5437941,219.8,1425,0,0
51.4493417,0.3175594,55.0005789,-1.4659941,480.9,106,0,1
51.358537,1.024634,53.741206,-2.442673,470.1,355,1,1
53.2265427,-0.8841015,53.4545928,-2.2707232,165.5,1365,0,1
55.873387,-4.257898,52.6002465,-1.084046,505.6,1845,0,1
53.54472,-2.63167,54.136836,-0.797897,165.2,210,0,1
53.4231596,-1.3426637,53.4497956,-1.3530039,4.3,1520,0,1
53.462447,-2.114904,51.5523887,-0.0591788,349.2,106,1,1
53.38889,-2.59611,51.5073219,-0.1276474,327.6,210,0,1
51.9,-0.43333,54.851797,-1.833026,391,1710,0,1
57.255069,-2.060786,51.6195955,-3.9459248,908,1730,0,0
53.6013,-2.5497,51.5073219,-0.1276474,362,1088,0,0
53.4882365,-2.2324335,53.8247153,-3.0366596,81.5,106,0,0
52.852004,-1.476789,53.7974185,-1.5437941,138.6,1700,0,1
55.0373495,-1.700561,57.255069,-2.060786,393.7,210,0,1
54.57389,-1.23333,55.8609825,-4.2488787,305,1164,0,1
52.041047,0.726706,51.742736,-3.180782,369.6,1345,0,1
53.6600291,-1.8188759,53.6402883,-1.8230895,4.3,1610,0,1
53.835187,-2.219377,55.5485697,-2.7861388,276,1890,0,0
51.55833,-1.78111,51.886,-0.52102,116.1,1970,0,0
54.395,-3.48333,51.1157,-0.1937,560.1,210,0,1
51.058479,-1.296931,50.6558065,-3.655726,212.8,106,1,0
53.7974185,-1.5437941,55.836732,-3.046099,320.9,210,0,1
50.622055,-4.682364,51.454513,-2.58791,221.9,355,0,1
54.23097,-1.0101985,51.5073219,-0.1276474,378.2,210,0,0
51.9149215,0.928895,51.818268,-0.192347,99.2,2315,1,1
55.897742,-3.702162,55.953252,-3.188267,39.9,210,0,1
55.8609825,-4.2488787,55.9833,-3.4,67.1,106,0,1
51.83333,-0.83333,51.2354,-0.5746,98.5,106,0,1
50.2095204,-5.0693052,52.8143807,-1.8761002,469.2,1160,0,1
56.675117,-3.003501,50.718412,-3.533899,854.1,355,0,1
50.3712659,-4.1425658,52.54,0.07,485.5,210,0,1
51.5949875,-0.2563174,52.8497264,-1.3363428,175.6,2280,0,1
52.688291,-2.429625,56.4170279,-3.4760277,535.4,235,1,1
52.453583,1.4220691,51.4894752,0.0675883,185,2000,0,1
51.597753,-0.391688,55.836604,-4.300111,647.3,1755,1,1
52.7543,0.3976,53.423,-3.065,313.1,106,0,1
51.427004,-0.081758,52.067944,-0.47248,105.7,106,0,0
52.027411,-1.143152,51.319664,-2.208853,140.5,210,0,0
51.3833,-0.1,51.4657341,-0.054919,12.1,210,0,0
53.452028,-2.7384,54.233849,-1.341377,172.2,235,0,1
50.9025349,-1.404189,54.8948478,-2.9362311,537.8,2637,0,1
50.3712659,-4.1425658,50.15,-5.06667,107.3,1065,0,0
52.201654125,0.12166975,51.7794741,-2.6093538,279.9,1385,0,0
51.419094,-0.2025205,51.5487013,0.7072254,116.8,2000,0,1
50.75,-2.3333,58.59611,-3.52111,1184.1,2000,0,0
53.0162014,-2.1812607,51.78333,0.11667,263.4,2055,0,1
51.535764,-0.902894,53.8007554,-1.5490774,318.9,1700,0,1
51.7671779,0.0063408,51.4255978,-0.1308087,68.2,1900,0,1
52.898116,-1.865801,51.9461307,-4.5512253,335.9,2900,0,1
51.4816546,-3.1791934,54.9738474,-1.6131572,507.8,2000,0,1
51.08139,1.16472,54.6241475,-3.1627397,597,1770,0,0
51.8293826,-0.2243352,53.4634532,-1.9710271,272.9,1370,0,1
51.9736851,-0.2211072,51.7127945,-4.9534216,447.3,355,0,1
53.58333,-2.43333,54.243925,-0.777553,165.7,2000,0,0
51.30969,0.18657,51.5831038,-0.2534766,76.5,106,0,0
55.477721,-2.5549369,51.556619,0.076251,542.5,210,0,1
51.62167,-0.75167,51.4358,-0.922714,35.8,1055,0,0
51.700328,0.108655,53.6097136,-2.1561,341.4,1560,0,1
50.4625,-3.52806,53.40833,-2.14944,417.4,1602,0,1
51.74289,-3.37805,51.74289,-3.37805,0,2900,0,1
50.6064412,-2.4764381,52.481138,1.753449,438.6,3091,0,1
54.9704941,-2.2815032,54.903101,-1.811393,39.6,900,1,1
53.7974185,-1.5437941,52.2484645,-0.8709875,220,2210,0,0
53.4882365,-2.2324335,51.2814979,-0.20029,374.4,1685,0,1
52.88333,-4.41667,51.6195955,-3.9459248,231.2,210,0,1
53.7593363,-2.6992717,56.00056,-3.78444,319.6,2000,0,1
51.9034452,0.341693,52.3164858,1.2543737,116.7,1192,1,1
52.457755,-2.1569245,51.8333,0.5833,265.4,2150,0,1
50.877609,0.429424,50.429962,-3.837397,403.4,1182,0,1
52.063455,-0.575072,50.642924,-3.38971,328.6,210,1,1
50.8036831,-1.075614,54.7570577,-1.311453,522.7,1750,0,1
55.8141503,-4.0925327,53.5332086,-2.1450678,338.2,1278,0,1
51.5073219,-0.1276474,55.0456,-1.4443,478.7,106,0,1
51.5761,0.4886,53.64694,-3.00806,391.4,850,0,1
50.72,-1.88,51.4672885,-0.2170285,173.7,805,0,1
51.31611,-0.56111,51.2354,-0.5746,10.3,210,0,1
55.9491525,-3.367901,50.947822,-2.5144829,720.6,1775,0,1
51.400598,-0.20941,51.291067,0.125632,49.6,2000,1,1
51.5073219,-0.1276474,51.761193,-4.2261645,330.5,1390,0,0
55.814274,-4.092152,53.534722,-2.144466,338.3,1278,1,1
51.4486,-0.3369,52.201654125,0.12166975,141.6,1100,0,1
51.889938,0.2617407,53.5643515,-1.5512768,273.1,210,0,1
51.703,-0.602,50.2627515,-5.0520467,425.6,1125,0,1
52.075697,-3.125908,50.6099306,-2.4546253,262.5,2240,0,0
51.4817279,-0.613576,50.718412,-3.533899,248,1280,0,0
51.5073219,-0.1276474,51.5821,0.7065,68.8,106,0,0
51.5073219,-0.1276474,51.5821,0.7065,68.8,106,0,0
50.81471,-0.37139,50.43528,-3.5625,328,1730,0,1
53.7974185,-1.5437941,51.6837273,-0.7099643,287.3,210,0,1
52.5048923,1.1557929,51.5539843,-2.3826965,344.8,1010,0,0
52.7335976,0.412001,52.3326051,-0.9048823,125.6,1016,0,1
53.5665,-2.8869,52.8143807,-1.8761002,132,210,0,1
51.8781,0.5495,51.54,0.71,53.3,1192,0,1
54.76,-1.33,53.4760854,-2.5619198,219.9,1493,0,0
50.3562269,-4.455232,53.108037,-2.9444377,477.3,210,0,1
52.201654125,0.12166975,53.4882365,-2.2324335,277.4,1695,0,1
53.30972,-1.12278,52.852004,-1.476789,80.4,1340,0,0
55.9491525,-3.367901,51.540782,0.648066,687.1,2236,0,0
51.4491,0.2993,53.8180104,-1.6380126,345.7,210,0,1
51.0696372,-1.3147691,55.9751745,-2.9046257,686.5,1092,0,1
53.351633,-2.856384,51.613557,0.180945,357.7,1827,1,1
53.4526694,-1.0265457,50.343697,-4.7379191,537.9,1919,0,1
50.893205,0.632638,50.893205,0.632638,0,210,0,1
53.2234237,-2.5437923,52.4855727,-2.1404275,118,2360,0,1
57.695,-4.258,55.879884,-4.422002,318.8,210,0,1
50.8329,-0.2682,51.0690613,-1.7954134,129.6,106,0,1
51.5073219,-0.1276474,54.23097,-1.0101985,402.5,1800,0,1
53.1163522,-3.3936557,56.2481801,-4.246807,471.9,880,0,1
51.0690613,-1.7954134,50.15,-5.06667,307.3,355,0,1
53.688623,-1.412943,55.9359755,-3.3896566,376.7,210,1,1
52.099602,0.29107,51.479414,-3.261139,358.6,235,1,1
53.0379228,-2.749277,51.514169,-0.243542,290.1,106,1,1
50.532454,-3.6027779,51.4353971,-0.4726544,275.9,1633,0,0
52.5135612,-1.083268,52.9547832,-1.1581086,64.1,1192,0,1
54.9738474,-1.6131572,51.57,0.55,474.1,1800,0,1
53.5562851,-1.0651091,56.2128156,-3.4318576,451.7,1503,0,0
52.099326,0.2915207,51.4790006,-3.2626413,358.5,235,0,1
51.5125161,-0.5861155,53.6490276,-1.7763672,306.5,2505,0,1
50.62,-3.413,52.4075044,-0.7538143,346.9,1095,0,1
55.9211632,-3.5352641,53.3955121,-1.4137853,425,3230,0,1
53.520321,-1.318551,50.794995,-3.9421512,462.2,1400,1,1
51.34611,-2.97694,51.111707,-0.753561,208.1,106,0,0
51.9609592,0.9683938,51.8884039,0.928347,9.7,1318,0,0
55.78917,-3.99556,54.9058512,-1.3828727,244.9,210,0,1
51.36069,1.02569,51.758645,-1.2556475,211.1,106,0,0
51.634456,0.291074,52.452403,-0.1137873,120.2,210,1,1
50.9854209,-0.4986523,52.1296463,-4.1590467,383.1,550,0,1
56.071741,-3.452151,54.597285,-5.93012,288.6,106,0,0
51.9,-0.43333,57.4790124,-4.225739,849,1278,0,1
53.6829541,-1.4967286,54.104699,-5.904606,539.4,1400,0,1
53.4240491,-1.2596271,53.438871,-1.277134,3.2,1992,0,1
54.1107098,-2.3594629,53.1889809,-2.5106405,137.3,106,0,1
51.5285562,-0.245723,51.7220547,0.4612182,83.2,1271,0,1
51.5193447,-0.0730377,52.9710417,-2.1162056,249.3,1275,0,1
54.57389,-1.23333,53.4882365,-2.2324335,182.4,2200,0,1
52.38591,-1.775221,52.0855,-1.7666,46.7,106,0,0
52.9734163,-0.072322,57.1579668,-2.3035278,708.5,2505,0,1
52.6081519,-2.1219772,51.4158571,-0.0523547,277.2,1835,0,1
52.69,-2.03,51.6611561,-3.2202483,186.6,1936,0,1
